sc,range,season,tm_tr,tm,w_win,l_win,t_win,mov_win,w_ats,l_ats,t_ats,ats_ats,w_ou,l_ou,t_ou,total_ou
is_after_win,2016,2016,Buffalo,BUF,4,3,0,6.1,3,4,0,3.4,6,1,0,6.6
is_after_win,2016,2016,Carolina,CAR,2,4,0,-3.5,2,3,1,-3.2,1,4,1,-5.1
is_after_win,2016,2016,Chicago,CHI,0,3,0,-11.7,1,2,0,-8.7,2,1,0,0.2
is_after_win,2016,2016,Cincinnati,CIN,1,3,1,-2.6,1,4,0,-3.3,1,4,0,-3.5
is_after_win,2016,2016,Cleveland,CLE,0,1,0,-3,1,0,0,0.5,1,0,0,9.5
is_after_win,2016,2016,Dallas,DAL,11,2,0,8.2,9,4,0,6,5,8,0,-0.4
is_after_win,2016,2016,Denver,DEN,4,4,0,3.9,4,4,0,2.2,5,3,0,0.1
is_after_win,2016,2016,Detroit,DET,6,3,0,1.7,5,4,0,0.4,1,8,0,-8.9
is_after_win,2016,2016,Green Bay,GBY,8,4,0,4.4,7,4,1,2.7,8,4,0,3.7
is_after_win,2016,2016,Houston,HOU,4,6,0,-8.2,2,8,0,-4.5,5,5,0,-2.9
is_after_win,2016,2016,Indianapolis,IND,1,6,0,-7,1,5,1,-5.7,3,4,0,-3.7
is_after_win,2016,2016,Jacksonville,JAX,1,2,0,-6.7,2,1,0,-4.7,1,2,0,-5.3
is_after_win,2016,2016,Kansas City,KCY,7,5,0,0.6,5,6,1,-2,3,9,0,-3.4
is_after_win,2016,2016,LA Chargers,LAC,1,4,0,-4.6,1,4,0,-4.2,3,1,1,3.3
is_after_win,2016,2016,LA Rams,LAR,2,2,0,-1.5,2,2,0,2.2,2,2,0,1.9
is_after_win,2016,2016,Miami,MIA,7,3,0,-1.9,6,3,1,-0.1,8,2,0,2.9
is_after_win,2016,2016,Minnesota,MIN,4,3,0,0.7,4,3,0,-0.4,1,6,0,-7.4
is_after_win,2016,2016,New Orleans,NOR,3,4,0,-0.1,4,2,1,-0.4,4,3,0,4.7
is_after_win,2016,2016,New England,NWE,14,2,0,12.4,13,3,0,5.2,9,7,0,-1.3
is_after_win,2016,2016,NY Giants,NYG,7,4,0,0.5,5,6,0,-1,4,7,0,-6.4
is_after_win,2016,2016,NY Jets,NYJ,1,3,0,-10.8,1,3,0,-9.1,3,1,0,2
is_after_win,2016,2016,Oakland,OAK,8,4,0,0.2,6,6,0,-1,9,3,0,4.9
