season,seasontype,wk,date,time,tm_home,tm_away,pts_away,pts_home
2006,2,11,2006-11-19,2006-11-19T18:00:00Z,TBY,WAS,17,20
2006,2,11,2006-11-19,2006-11-19T21:05:00Z,ARI,DET,10,17
2006,2,11,2006-11-19,2006-11-19T21:05:00Z,SFO,SEA,14,20
2006,2,11,2006-11-19,2006-11-19T21:15:00Z,DAL,IND,14,21
2006,2,11,2006-11-21,2006-11-21T01:30:00Z,JAX,NYG,10,26
2006,2,12,2006-11-23,2006-11-23T17:30:00Z,DET,MIA,27,10
2006,2,12,2006-11-23,2006-11-23T21:15:00Z,DAL,TBY,10,38
2006,2,12,2006-11-24,2006-11-24T01:00:00Z,KCY,DEN,10,19
2006,2,12,2006-11-26,2006-11-26T18:00:00Z,ATL,NOR,31,13
2006,2,12,2006-11-26,2006-11-26T18:00:00Z,BAL,PIT,0,27
2006,2,12,2006-11-26,2006-11-26T18:00:00Z,BUF,JAX,24,27
2006,2,12,2006-11-26,2006-11-26T18:00:00Z,CLE,CIN,30,0
2006,2,12,2006-11-26,2006-11-26T18:00:00Z,MIN,ARI,26,31
2006,2,12,2006-11-26,2006-11-26T18:00:00Z,NYJ,HOU,11,26
2006,2,12,2006-11-26,2006-11-26T18:00:00Z,WAS,CAR,13,17
2006,2,12,2006-11-26,2006-11-26T21:15:00Z,NWE,CHI,13,17
2006,2,12,2006-11-26,2006-11-26T21:15:00Z,TEN,NYG,21,24
2006,2,12,2006-11-27,2006-11-27T01:15:00Z,IND,PHI,21,45
2006,2,12,2006-11-28,2006-11-28T01:30:00Z,SEA,GBY,24,34
2006,2,13,2006-12-01,2006-12-01T01:00:00Z,CIN,BAL,7,13
2006,2,13,2006-12-03,2006-12-03T18:00:00Z,CHI,MIN,13,23
2006,2,13,2006-12-03,2006-12-03T18:00:00Z,CLE,KCY,28,31
2006,2,13,2006-12-03,2006-12-03T18:00:00Z,GBY,NYJ,38,10
2006,2,13,2006-12-03,2006-12-03T18:00:00Z,NOR,SFO,10,34
2006,2,13,2006-12-03,2006-12-03T18:00:00Z,NWE,DET,21,28
2006,2,13,2006-12-03,2006-12-03T18:00:00Z,TEN,IND,17,20
2006,2,13,2006-12-03,2006-12-03T18:00:00Z,WAS,ATL,24,14
2006,2,13,2006-12-03,2006-12-03T21:00:00Z,NYG,DAL,23,20
2006,2,13,2006-12-03,2006-12-03T21:05:00Z,MIA,JAX,24,10
2006,2,13,2006-12-03,2006-12-03T21:05:00Z,OAK,HOU,23,14
2006,2,13,2006-12-03,2006-12-03T21:15:00Z,PIT,TBY,3,20
2006,2,13,2006-12-04,2006-12-04T01:15:00Z,DEN,SEA,23,20
2006,2,13,2006-12-05,2006-12-05T01:30:00Z,PHI,CAR,24,27
2006,2,14,2006-12-08,2006-12-08T01:00:00Z,PIT,CLE,7,27
2006,2,14,2006-12-10,2006-12-10T18:00:00Z,CAR,NYG,27,13
2006,2,14,2006-12-10,2006-12-10T18:00:00Z,CIN,OAK,10,27
2006,2,14,2006-12-10,2006-12-10T18:00:00Z,DET,MIN,30,20
2006,2,14,2006-12-10,2006-12-10T18:00:00Z,HOU,TEN,26,20
2006,2,14,2006-12-10,2006-12-10T18:00:00Z,JAX,IND,17,44
2006,2,14,2006-12-10,2006-12-10T18:00:00Z,KCY,BAL,20,10
2006,2,14,2006-12-10,2006-12-10T18:00:00Z,MIA,NWE,0,21
2006,2,14,2006-12-10,2006-12-10T18:00:00Z,TBY,ATL,17,6
2006,2,14,2006-12-10,2006-12-10T18:00:00Z,WAS,PHI,21,19
2006,2,14,2006-12-10,2006-12-10T21:05:00Z,ARI,SEA,21,27
2006,2,14,2006-12-10,2006-12-10T21:05:00Z,SFO,GBY,30,19
2006,2,14,2006-12-10,2006-12-10T21:15:00Z,NYJ,BUF,31,13
2006,2,14,2006-12-11,2006-12-11T01:15:00Z,DAL,NOR,42,17
2006,2,15,2006-12-15,2006-12-15T01:00:00Z,SEA,SFO,24,14
2006,2,15,2006-12-17,2006-12-17T01:00:00Z,ATL,DAL,38,28
2006,2,15,2006-12-17,2006-12-17T18:00:00Z,BAL,CLE,17,27
2006,2,15,2006-12-17,2006-12-17T18:00:00Z,BUF,MIA,0,21
2006,2,15,2006-12-17,2006-12-17T18:00:00Z,CAR,PIT,37,3
2006,2,15,2006-12-17,2006-12-17T18:00:00Z,CHI,TBY,31,34
2006,2,15,2006-12-17,2006-12-17T18:00:00Z,GBY,DET,9,17
2006,2,15,2006-12-17,2006-12-17T18:00:00Z,MIN,NYJ,26,13
2006,2,15,2006-12-17,2006-12-17T18:00:00Z,NOR,WAS,16,10
2006,2,15,2006-12-17,2006-12-17T18:00:00Z,NWE,HOU,7,40
2006,2,15,2006-12-17,2006-12-17T18:00:00Z,TEN,JAX,17,24
2006,2,15,2006-12-17,2006-12-17T21:05:00Z,ARI,DEN,37,20
2006,2,15,2006-12-17,2006-12-17T21:15:00Z,NYG,PHI,36,22
2006,2,15,2006-12-19,2006-12-19T01:30:00Z,IND,CIN,16,34
2006,2,16,2006-12-22,2006-12-22T01:00:00Z,GBY,MIN,7,9
2006,2,16,2006-12-24,2006-12-24T01:00:00Z,OAK,KCY,20,9
2006,2,16,2006-12-24,2006-12-24T18:00:00Z,ATL,CAR,10,3
2006,2,16,2006-12-24,2006-12-24T18:00:00Z,BUF,TEN,30,29
2006,2,16,2006-12-24,2006-12-24T18:00:00Z,CLE,TBY,22,7
2006,2,16,2006-12-24,2006-12-24T18:00:00Z,DET,CHI,26,21
2006,2,16,2006-12-24,2006-12-24T18:00:00Z,HOU,IND,24,27
2006,2,16,2006-12-24,2006-12-24T18:00:00Z,JAX,NWE,24,21
2006,2,16,2006-12-24,2006-12-24T18:00:00Z,NYG,NOR,30,7
2006,2,16,2006-12-24,2006-12-24T18:00:00Z,PIT,BAL,31,7
2006,2,16,2006-12-24,2006-12-24T21:05:00Z,SFO,ARI,26,20
2006,2,16,2006-12-24,2006-12-24T21:15:00Z,DEN,CIN,23,24
2006,2,16,2006-12-25,2006-12-25T22:00:00Z,DAL,PHI,23,7
2006,2,16,2006-12-26,2006-12-26T01:30:00Z,MIA,NYJ,13,10
