trend,sc,season,tm_tr,tm,w,l,t,mov,ats,total
ats,is_away,2016,Jacksonville,JAX,5,3,0,-7.6,-2.8,NA
ats,is_away,2016,Kansas City,KCY,6,2,0,1.6,2.1,NA
ats,is_away,2016,LA Chargers,LAC,4,4,0,-3.1,-1.4,NA
ats,is_away,2016,LA Rams,LAR,3,5,0,-10.5,-4.5,NA
ats,is_away,2016,Miami,MIA,5,4,0,-4.3,0.7,NA
ats,is_away,2016,Minnesota,MIN,3,5,0,-1.6,-1.1,NA
ats,is_away,2016,New Orleans,NOR,6,1,1,0.4,3.4,NA
ats,is_away,2016,New England,NWE,7,1,0,12.6,7.2,NA
ats,is_away,2016,NY Giants,NYG,3,4,1,-4.6,-1.2,NA
ats,is_away,2016,NY Jets,NYJ,3,5,0,-11.4,-6.1,NA
ats,is_away,2016,Oakland,OAK,6,3,0,-0.4,1.1,NA
ats,is_away,2016,Philadelphia,PHI,2,6,0,-4.2,-2,NA
ats,is_away,2016,Pittsburgh,PIT,6,4,0,-0.1,-3,NA
ats,is_away,2016,Seattle,SEA,3,6,0,-5,-6.2,NA
ats,is_away,2016,San Francisco,SFO,2,5,1,-15.5,-6.8,NA
ats,is_away,2016,Tampa Bay,TBY,6,2,0,-1.2,3.4,NA
ats,is_away,2016,Tennessee,TEN,3,5,0,-2.6,-0.8,NA
ats,is_away,2016,Washington,WAS,5,2,0,2.4,3.8,NA
ats,is_away,2017,Arizona,ARI,2,5,0,-5.6,-4.4,NA
ats,is_away,2017,Atlanta,ATL,3,7,0,0,-1.4,NA
ats,is_away,2017,Baltimore,BAL,5,1,1,8.7,10.2,NA
ats,is_away,2017,Buffalo,BUF,5,4,0,-7,-1.8,NA
ats,is_away,2017,Carolina,CAR,6,3,0,0.8,2.7,NA
ats,is_away,2017,Chicago,CHI,3,5,0,-9.1,-0.9,NA
ats,is_away,2017,Cincinnati,CIN,5,3,0,-4.2,0.9,NA
ats,is_away,2017,Cleveland,CLE,2,6,0,-11.4,-4.1,NA
ats,is_away,2017,Dallas,DAL,5,2,1,4.9,2.1,NA
ats,is_away,2017,Denver,DEN,1,7,0,-13.2,-11.8,NA
ats,is_away,2017,Detroit,DET,4,3,1,-0.9,-0.2,NA
ats,is_away,2017,Green Bay,GBY,4,4,0,-5.1,-1.4,NA
ats,is_away,2017,Houston,HOU,4,4,0,-11.6,-3.2,NA
ats,is_away,2017,Indianapolis,IND,3,5,0,-13.4,-5,NA
ats,is_away,2017,Jacksonville,JAX,6,4,0,5.9,6.5,NA
ats,is_away,2017,Kansas City,KCY,4,4,0,2.2,1.2,NA
ats,is_away,2017,LA Chargers,LAC,4,3,1,0.5,2.1,NA
ats,is_away,2017,LA Rams,LAR,5,3,0,11.1,9.2,NA
ats,is_away,2017,Miami,MIA,2,6,0,-14.4,-7.6,NA
ats,is_away,2017,Minnesota,MIN,4,4,0,-2,-3.3,NA
ats,is_away,2017,New Orleans,NOR,4,4,0,4.5,5.4,NA
ats,is_away,2017,New England,NWE,5,2,0,9.9,3.4,NA
ats,is_away,2017,NY Giants,NYG,4,4,0,-7.2,-1.8,NA
ats,is_away,2017,NY Jets,NYJ,2,5,1,-11.8,-4.8,NA
ats,is_away,2017,Oakland,OAK,2,5,1,-8.8,-5.9,NA
ats,is_away,2017,Philadelphia,PHI,5,3,0,5,3.9,NA
ats,is_away,2017,Pittsburgh,PIT,4,4,0,7.4,2,NA
ats,is_away,2017,Seattle,SEA,4,3,1,3.6,3.2,NA
ats,is_away,2017,San Francisco,SFO,6,2,0,-0.2,4.9,NA
ats,is_away,2017,Tampa Bay,TBY,2,5,1,-7.2,-3.5,NA
ats,is_away,2017,Tennessee,TEN,4,6,0,-7.1,-5.4,NA
ats,is_away,2017,Washington,WAS,3,5,0,-7.6,-3.6,NA
ats,is_away_dog,2016,Arizona,ARI,1,3,0,-8,-3.8,NA
ats,is_away_dog,2016,Atlanta,ATL,4,1,0,3.2,7,NA
ats,is_away_dog,2016,Baltimore,BAL,1,4,0,-6.6,-1.8,NA
ats,is_away_dog,2016,Buffalo,BUF,2,3,0,-1.2,2.3,NA
ats,is_away_dog,2016,Carolina,CAR,3,1,0,-6.5,-1,NA
ats,is_away_dog,2016,Chicago,CHI,2,5,0,-11.7,-5.4,NA
ats,is_away_dog,2016,Cincinnati,CIN,2,3,0,-6.4,-2.8,NA
ats,is_away_dog,2016,Cleveland,CLE,3,5,0,-12,-4.2,NA
ats,is_away_dog,2016,Dallas,DAL,3,1,0,2.2,6.8,NA
ats,is_away_dog,2016,Denver,DEN,2,3,0,-4.4,-1.8,NA
ats,is_away_dog,2016,Detroit,DET,3,5,0,-5.1,-0.2,NA
ats,is_away_dog,2016,Green Bay,GBY,3,2,0,-5,-0.6,NA
ats,is_away_dog,2016,Houston,HOU,2,5,0,-8.7,-1.6,NA
ats,is_away_dog,2016,Indianapolis,IND,4,2,1,6.7,11,NA
ats,is_away_dog,2016,Jacksonville,JAX,5,3,0,-7.6,-2.8,NA
ats,is_away_dog,2016,Kansas City,KCY,3,1,0,-5.5,-1.9,NA
ats,is_away_dog,2016,LA Chargers,LAC,3,3,0,-5,-1.6,NA
ats,is_away_dog,2016,LA Rams,LAR,2,4,0,-9.8,-1.2,NA
ats,is_away_dog,2016,Miami,MIA,4,4,0,-7.5,-1.6,NA
ats,is_away_dog,2016,Minnesota,MIN,1,3,0,-2.5,1.6,NA
ats,is_away_dog,2016,New Orleans,NOR,5,1,1,-2.1,2,NA
ats,is_away_dog,2016,New England,NWE,1,0,0,2,11,NA
ats,is_away_dog,2016,NY Giants,NYG,2,4,1,-7.3,-2.5,NA
ats,is_away_dog,2016,NY Jets,NYJ,2,5,0,-13.4,-7,NA
ats,is_away_dog,2016,Oakland,OAK,4,3,0,-2,0.5,NA
ats,is_away_dog,2016,Philadelphia,PHI,2,4,0,-4.3,-0.2,NA
